Категория|Url
Телевизоры, аудио-видео, Hi-Fi|https://www.mvideo.ru/catalog/televizory-i-video
Ноутбуки и компьютерная техника|https://www.mvideo.ru/catalog/noutbuki-planshety-i-kompyutery
m_mobile: смартфоны и гаджеты|https://www.mvideo.ru/catalog/telefony
Фото и  видео|https://www.mvideo.ru/catalog/fotoapparaty-i-videotehnika
Техника  для кухни|https://www.mvideo.ru/catalog/tehnika-dlya-kuhni
Техника для дома|https://www.mvideo.ru/catalog/bytovaya-tehnika-dlya-doma
Красота и здоровье|https://www.mvideo.ru/catalog/krasota-i-zdorove
Автомобильная  электроника|https://www.mvideo.ru/catalog/avtomobilnaya-elektronika-i-gps
Игры и софт, развлечения|https://www.mvideo.ru/catalog/igry-i-razvlecheniya
Аксессуары|https://www.mvideo.ru/catalog/aksessuary
Apple|https://www.mvideo.ru/catalog/apple?from=mainmenu
